region,canal,metodo_pago,ticket,dias_entrega,satisfaccion
Lima,App,Contra entrega,54.04,2.0,4.0
Lima,Web,Billetera digital,136.47,2.0,3.0
Lima,App,Billetera digital,84.13,1.0,5.0
Sur,App,Billetera digital,243.15,3.0,5.0
Norte,Web,Tarjeta,114.34,3.0,5.0
Lima,App,Billetera digital,119.98,1.0,5.0
Norte,App,Tarjeta,113.07,3.0,4.0
Lima,Web,Tarjeta,52.47,2.0,5.0
Lima,App,Tarjeta,469.3,2.0,4.0
Lima,Web,Billetera digital,255.72,1.0,5.0
Lima,App,Billetera digital,248.31,2.0,4.0
Norte,App,Billetera digital,89.2,3.0,3.0
Norte,App,Contra entrega,88.61,5.0,4.0
Norte,Web,Billetera digital,58.3,3.0,4.0
Norte,Web,Tarjeta,99.38,3.0,4.0
Centro,App,Tarjeta,109.8,2.0,4.0
Oriente,Web,Contra entrega,108.26,2.0,3.0
Lima,App,Tarjeta,206.32,2.0,4.0
Norte,App,Contra entrega,102.84,5.0,4.0
Lima,App,Billetera digital,118.01,2.0,4.0
Norte,Web,Contra entrega,89.5,1.0,5.0
Lima,Web,Billetera digital,140.58,1.0,4.0
Lima,Web,Billetera digital,1753.76,1.0,5.0
Oriente,Web,Billetera digital,126.83,10.0,2.0
Lima,App,Tarjeta,116.54,2.0,5.0
Norte,Web,Billetera digital,139.26,4.0,4.0
Sur,App,Contra entrega,74.51,5.0,4.0
Norte,Web,Tarjeta,182.94,2.0,5.0
Centro,App,Tarjeta,45.05,2.0,4.0
Lima,Web,Tarjeta,233.32,2.0,5.0
Lima,Web,Billetera digital,113.22,2.0,5.0
Lima,App,Tarjeta,102.35,1.0,5.0
Norte,Web,Contra entrega,183.7,4.0,4.0
Norte,App,Tarjeta,194.0,1.0,5.0
Lima,App,Tarjeta,258.84,2.0,3.0
Lima,Web,Billetera digital,1368.3,2.0,4.0
Norte,Web,Tarjeta,84.45,3.0,3.0
Centro,App,Tarjeta,61.22,2.0,3.0
Lima,App,Tarjeta,116.76,1.0,5.0
Lima,Web,Billetera digital,159.74,1.0,4.0
Centro,App,Tarjeta,66.23,1.0,5.0
Sur,App,Contra entrega,161.51,2.0,5.0
Norte,Web,Billetera digital,142.45,3.0,4.0
Sur,Web,Billetera digital,210.24,4.0,3.0
Lima,Web,Billetera digital,156.49,1.0,5.0
Sur,App,Tarjeta,84.77,4.0,3.0
Lima,Web,Tarjeta,82.51,1.0,4.0
Lima,Web,Tarjeta,204.61,3.0,4.0
Norte,Web,Tarjeta,68.92,2.0,5.0
Sur,App,Billetera digital,118.66,2.0,4.0
Centro,Web,Tarjeta,101.46,1.0,5.0
Norte,App,Tarjeta,88.27,1.0,4.0
Norte,Web,Tarjeta,103.66,4.0,4.0
Oriente,App,Contra entrega,182.74,3.0,5.0
Centro,Web,Billetera digital,211.01,5.0,4.0
Norte,Web,Contra entrega,369.43,3.0,5.0
Lima,Web,Billetera digital,166.25,1.0,4.0
Lima,Web,Tarjeta,177.86,1.0,4.0
Lima,Web,Tarjeta,141.46,2.0,5.0
Lima,App,Contra entrega,37.82,1.0,4.0
Lima,App,Tarjeta,98.18,1.0,3.0
Norte,Web,Tarjeta,54.81,3.0,4.0
Lima,Web,Tarjeta,356.17,1.0,5.0
Lima,Web,Contra entrega,103.28,1.0,4.0
Norte,Web,Billetera digital,101.26,2.0,4.0
Lima,App,Billetera digital,233.68,1.0,4.0
Oriente,App,Contra entrega,83.28,7.0,3.0
Lima,Web,Tarjeta,212.7,3.0,5.0
Lima,App,Tarjeta,121.61,4.0,4.0
Centro,Web,Tarjeta,149.37,6.0,4.0
Lima,Web,Billetera digital,155.21,3.0,4.0
Lima,App,Tarjeta,186.44,1.0,4.0
Centro,App,Billetera digital,123.48,7.0,4.0
Centro,Web,Billetera digital,86.33,3.0,4.0
Lima,Web,Tarjeta,124.45,1.0,5.0
Oriente,App,Tarjeta,30.99,9.0,4.0
Lima,Web,Tarjeta,184.72,4.0,4.0
Centro,Web,Contra entrega,121.22,5.0,3.0
Centro,Web,Tarjeta,96.16,4.0,5.0
Lima,App,Billetera digital,219.75,3.0,5.0
Norte,Web,Contra entrega,215.34,2.0,4.0
Lima,Web,Tarjeta,233.3,1.0,5.0
Norte,Web,Billetera digital,226.87,4.0,5.0
Lima,App,Tarjeta,158.91,3.0,4.0
Lima,App,Tarjeta,229.48,6.0,3.0
Lima,Web,Billetera digital,132.84,1.0,4.0
Lima,Web,Tarjeta,172.45,2.0,4.0
Sur,App,Billetera digital,294.17,3.0,4.0
Lima,App,Billetera digital,105.13,1.0,4.0
Lima,App,Billetera digital,207.3,2.0,5.0
Lima,App,Billetera digital,115.47,1.0,5.0
Norte,Web,Contra entrega,436.98,3.0,3.0
Sur,Web,Billetera digital,93.32,5.0,3.0
Lima,Web,Contra entrega,100.03,2.0,5.0
Lima,Web,Billetera digital,169.73,1.0,5.0
Norte,Web,Contra entrega,32.56,5.0,3.0
Norte,Web,Tarjeta,173.25,3.0,4.0
Lima,Web,Billetera digital,79.47,4.0,4.0
Norte,Web,Billetera digital,181.81,3.0,4.0
Norte,App,Billetera digital,172.5,6.0,3.0
Lima,App,Billetera digital,111.69,1.0,4.0
Sur,Web,Tarjeta,96.15,3.0,5.0
Norte,App,Tarjeta,183.17,3.0,3.0
Norte,Web,Tarjeta,150.93,1.0,5.0
Norte,Web,Contra entrega,165.05,2.0,5.0
Centro,App,Billetera digital,89.71,3.0,
Lima,Web,Billetera digital,81.61,4.0,4.0
Centro,Web,Tarjeta,80.89,3.0,4.0
Norte,Web,Tarjeta,206.22,2.0,5.0
Lima,App,Billetera digital,169.12,2.0,4.0
Sur,Web,Contra entrega,196.28,4.0,4.0
Centro,Web,Billetera digital,162.04,5.0,4.0
Norte,Web,Billetera digital,102.63,2.0,5.0
Centro,Web,Contra entrega,133.55,6.0,4.0
Lima,Web,Billetera digital,150.4,2.0,5.0
Lima,Web,Billetera digital,190.12,1.0,
Norte,App,Billetera digital,93.31,1.0,3.0
Norte,App,Tarjeta,237.56,2.0,5.0
Lima,Web,Billetera digital,141.29,2.0,3.0
Centro,App,Tarjeta,248.36,4.0,4.0
Centro,Web,Billetera digital,165.93,5.0,3.0
Norte,Web,Billetera digital,136.97,1.0,4.0
Lima,Web,Tarjeta,206.78,3.0,4.0
Lima,App,Tarjeta,768.44,1.0,
Centro,Web,Tarjeta,327.57,6.0,4.0
Oriente,Web,Contra entrega,171.15,6.0,3.0
Sur,Web,Tarjeta,109.34,4.0,3.0
Lima,App,Billetera digital,137.84,4.0,3.0
Lima,App,Billetera digital,140.81,1.0,4.0
Lima,Web,Tarjeta,169.5,1.0,4.0
Lima,App,Billetera digital,64.33,1.0,4.0
Oriente,Web,Tarjeta,123.73,4.0,3.0
Lima,Web,Billetera digital,183.54,1.0,5.0
Lima,Web,Contra entrega,124.62,1.0,5.0
Lima,Web,Tarjeta,263.72,2.0,4.0
Norte,App,Contra entrega,82.27,5.0,5.0
Norte,Web,Billetera digital,50.13,4.0,3.0
Lima,App,Tarjeta,180.05,1.0,5.0
Lima,App,Tarjeta,100.98,1.0,5.0
Lima,App,Billetera digital,490.92,1.0,4.0
Norte,Web,Billetera digital,138.84,4.0,
Lima,Web,Tarjeta,109.41,3.0,4.0
Centro,Web,Tarjeta,237.39,2.0,4.0
Centro,Web,Billetera digital,111.23,2.0,3.0
Lima,Web,Tarjeta,152.98,3.0,4.0
Sur,Web,Billetera digital,79.83,1.0,4.0
Lima,App,Tarjeta,82.07,2.0,4.0
Lima,Web,Contra entrega,136.21,1.0,5.0
Lima,App,Billetera digital,185.53,2.0,4.0
Norte,Web,Contra entrega,141.59,2.0,5.0
Lima,Web,Billetera digital,145.11,1.0,5.0
Centro,App,Billetera digital,163.81,6.0,
Sur,Web,Billetera digital,121.54,1.0,4.0
Oriente,App,Contra entrega,135.38,6.0,2.0
Oriente,App,Tarjeta,101.56,9.0,2.0
Lima,App,Billetera digital,251.14,1.0,5.0
Sur,Web,Billetera digital,244.81,2.0,5.0
Norte,Web,Billetera digital,106.53,4.0,4.0
Lima,Web,Tarjeta,154.67,1.0,5.0
Norte,Web,Tarjeta,71.31,3.0,5.0
Lima,App,Tarjeta,109.43,1.0,5.0
Lima,App,Tarjeta,115.3,1.0,5.0
Sur,App,Billetera digital,198.13,1.0,4.0
Norte,Web,Tarjeta,76.0,3.0,4.0
Lima,App,Billetera digital,649.88,3.0,3.0
Norte,Web,Contra entrega,120.08,1.0,4.0
Lima,Web,Billetera digital,105.97,1.0,4.0
Norte,Web,Contra entrega,122.67,5.0,4.0
Lima,Web,Billetera digital,131.47,2.0,5.0
Lima,Web,Tarjeta,106.2,1.0,4.0
Centro,App,Tarjeta,94.96,5.0,3.0
Oriente,App,Tarjeta,96.21,7.0,4.0
Lima,Web,Contra entrega,263.19,1.0,4.0
Lima,Web,Billetera digital,213.99,4.0,3.0
Lima,Web,Tarjeta,221.08,3.0,5.0
Norte,Web,Tarjeta,71.96,1.0,4.0
Sur,App,Billetera digital,244.02,6.0,3.0
Lima,Web,Billetera digital,102.18,3.0,5.0
Oriente,App,Tarjeta,50.64,5.0,4.0
Norte,Web,Contra entrega,119.56,3.0,4.0
Centro,App,Billetera digital,247.18,5.0,3.0
Centro,Web,Tarjeta,125.67,6.0,3.0
Sur,Web,Tarjeta,98.02,1.0,5.0
Lima,Web,Contra entrega,195.81,1.0,5.0
Norte,Web,Tarjeta,144.96,6.0,2.0
Lima,Web,Contra entrega,176.43,1.0,4.0
Norte,App,Contra entrega,239.8,2.0,5.0
Lima,App,Tarjeta,89.98,2.0,5.0
Lima,App,Tarjeta,128.97,1.0,3.0
Lima,App,Billetera digital,373.3,3.0,5.0
Lima,Web,Billetera digital,232.24,3.0,4.0
Centro,App,Billetera digital,130.63,3.0,3.0
Lima,App,Tarjeta,67.09,2.0,5.0
Lima,Web,Tarjeta,245.86,1.0,4.0
Lima,App,Billetera digital,183.88,3.0,4.0
Sur,Web,Billetera digital,50.36,3.0,5.0
Oriente,Web,Contra entrega,194.51,5.0,1.0
Lima,Web,Billetera digital,76.6,1.0,5.0
Lima,Web,Billetera digital,112.1,2.0,4.0
Lima,App,Billetera digital,306.12,1.0,5.0
Oriente,Web,Billetera digital,103.29,3.0,5.0
Lima,App,Tarjeta,152.09,4.0,5.0
Lima,App,Tarjeta,163.01,3.0,4.0
Lima,Web,Tarjeta,246.37,3.0,5.0
Sur,App,Billetera digital,168.18,1.0,5.0
Lima,Web,Billetera digital,216.49,2.0,4.0
Centro,App,Contra entrega,350.84,4.0,4.0
Sur,Web,Tarjeta,138.96,4.0,5.0
Sur,App,Billetera digital,266.77,5.0,4.0
Lima,Web,Billetera digital,109.76,3.0,4.0
Sur,Web,Billetera digital,117.78,6.0,4.0
Oriente,App,Billetera digital,113.66,3.0,4.0
Centro,App,Tarjeta,53.68,4.0,4.0
Lima,Web,Billetera digital,421.05,1.0,4.0
Lima,App,Tarjeta,131.45,2.0,4.0
Norte,Web,Billetera digital,99.93,2.0,4.0
Lima,Web,Billetera digital,193.45,1.0,5.0
Lima,Web,Billetera digital,221.64,1.0,5.0
Lima,Web,Billetera digital,129.25,1.0,5.0
Lima,App,Tarjeta,130.93,2.0,4.0
Sur,App,Tarjeta,152.68,5.0,4.0
Lima,App,Tarjeta,235.72,2.0,3.0
Lima,Web,Billetera digital,81.78,2.0,4.0
Lima,Web,Tarjeta,108.54,1.0,5.0
Sur,Web,Billetera digital,61.69,1.0,4.0
Lima,App,Billetera digital,220.32,2.0,4.0
Lima,App,Tarjeta,154.78,1.0,4.0
Centro,Web,Billetera digital,115.04,3.0,4.0
Sur,App,Tarjeta,167.54,4.0,2.0
Lima,Web,Billetera digital,59.85,2.0,5.0
Lima,Web,Billetera digital,136.42,3.0,4.0
Oriente,Web,Contra entrega,68.1,2.0,5.0
Lima,App,Billetera digital,293.91,2.0,5.0
Sur,App,Contra entrega,593.15,5.0,2.0
Norte,Web,Tarjeta,91.6,4.0,5.0
Sur,App,Tarjeta,251.47,2.0,4.0
Lima,Web,Billetera digital,95.84,3.0,5.0
Lima,Web,Tarjeta,334.73,2.0,4.0
Lima,App,Tarjeta,342.05,2.0,4.0
Sur,Web,Contra entrega,90.51,3.0,4.0
Oriente,Web,Billetera digital,211.01,5.0,5.0
Lima,App,Billetera digital,67.33,2.0,5.0
Lima,Web,Tarjeta,97.56,1.0,5.0
Sur,App,Billetera digital,97.31,3.0,4.0
Sur,Web,Contra entrega,268.64,2.0,5.0
Sur,Web,Billetera digital,211.94,3.0,5.0
Lima,App,Tarjeta,137.49,1.0,4.0
Centro,App,Billetera digital,66.57,2.0,3.0
Centro,App,Tarjeta,145.13,3.0,3.0
Sur,App,Tarjeta,96.05,3.0,5.0
Lima,App,Tarjeta,177.53,3.0,5.0
Norte,Web,Contra entrega,118.67,2.0,3.0
Norte,App,Contra entrega,112.32,4.0,2.0
Oriente,Web,Contra entrega,97.04,5.0,4.0
Norte,App,Billetera digital,116.36,5.0,4.0
Norte,App,Tarjeta,53.9,1.0,5.0
Norte,App,Billetera digital,185.26,3.0,4.0
Lima,Web,Contra entrega,173.24,1.0,4.0
Oriente,Web,Tarjeta,294.99,3.0,4.0
Sur,Web,Tarjeta,101.14,3.0,4.0
Sur,App,Tarjeta,164.79,4.0,3.0
Norte,Web,Billetera digital,102.98,2.0,5.0
Lima,Web,Billetera digital,87.88,1.0,4.0
Sur,Web,Tarjeta,203.3,2.0,4.0
Lima,App,Contra entrega,92.37,2.0,4.0
Lima,Web,Billetera digital,482.41,3.0,3.0
Lima,Web,Tarjeta,112.8,1.0,5.0
Norte,App,Contra entrega,102.09,3.0,4.0
Norte,Web,Tarjeta,141.58,3.0,5.0
Oriente,App,Billetera digital,124.92,10.0,3.0
Lima,App,Contra entrega,531.56,5.0,4.0
Sur,App,Tarjeta,60.41,3.0,4.0
Lima,Web,Billetera digital,167.97,1.0,5.0
Sur,Web,Billetera digital,72.31,4.0,3.0
Norte,Web,Contra entrega,59.52,4.0,3.0
Lima,Web,Contra entrega,585.91,1.0,4.0
Lima,Web,Tarjeta,157.68,1.0,4.0
Norte,Web,Contra entrega,250.98,4.0,4.0
Norte,Web,Tarjeta,402.31,4.0,3.0
Centro,App,Contra entrega,71.71,8.0,4.0
Lima,App,Tarjeta,128.88,4.0,5.0
Lima,Web,Tarjeta,285.49,4.0,3.0
Sur,Web,Tarjeta,87.0,6.0,3.0
Lima,App,Tarjeta,184.53,1.0,5.0
Norte,Web,Tarjeta,109.93,2.0,5.0
Oriente,App,Tarjeta,28.58,6.0,4.0
Norte,App,Tarjeta,385.76,1.0,3.0
Centro,Web,Contra entrega,126.84,3.0,
Lima,App,Tarjeta,136.7,1.0,5.0
Sur,Web,Billetera digital,203.8,2.0,5.0
Sur,App,Tarjeta,181.11,9.0,3.0
Norte,App,Billetera digital,135.49,6.0,3.0
Lima,Web,Billetera digital,292.3,2.0,4.0
Lima,App,Billetera digital,521.6,2.0,4.0
Norte,App,Billetera digital,106.74,3.0,5.0
Lima,Web,Tarjeta,75.8,1.0,4.0
Norte,App,Tarjeta,192.16,3.0,4.0
Norte,Web,Billetera digital,56.82,3.0,4.0
Oriente,App,Contra entrega,138.58,4.0,5.0
Oriente,App,Billetera digital,108.31,4.0,4.0
Norte,App,Contra entrega,105.04,2.0,5.0
Centro,App,Billetera digital,117.37,3.0,4.0
Norte,App,Contra entrega,65.98,2.0,4.0
Norte,Web,Contra entrega,44.53,6.0,3.0
Lima,Web,Tarjeta,195.52,1.0,5.0
Sur,App,Tarjeta,95.85,1.0,4.0
Lima,Web,Tarjeta,190.41,2.0,
Lima,Web,Contra entrega,292.4,2.0,4.0
Sur,Web,Tarjeta,320.07,1.0,5.0
Sur,Web,Tarjeta,433.79,6.0,4.0
Lima,Web,Tarjeta,134.34,2.0,5.0
Oriente,Web,Tarjeta,101.7,6.0,3.0
Sur,App,Billetera digital,132.38,3.0,4.0
Lima,App,Tarjeta,64.4,1.0,4.0
Sur,Web,Billetera digital,106.25,3.0,3.0
Lima,App,Billetera digital,153.59,1.0,4.0
Sur,Web,Tarjeta,176.56,3.0,3.0
Lima,App,Tarjeta,111.41,2.0,2.0
Lima,App,Billetera digital,63.78,2.0,5.0
Lima,App,Tarjeta,107.19,2.0,5.0
Norte,Web,Billetera digital,108.06,4.0,4.0
Norte,App,Billetera digital,55.28,2.0,5.0
Lima,App,Tarjeta,166.2,4.0,4.0
Sur,Web,Tarjeta,90.61,5.0,4.0
Norte,Web,Billetera digital,195.44,4.0,3.0
Lima,Web,Contra entrega,118.45,4.0,5.0
Sur,App,Tarjeta,77.82,8.0,3.0
Sur,Web,Billetera digital,153.96,3.0,4.0
Oriente,App,Contra entrega,46.87,2.0,5.0
Lima,App,Tarjeta,105.02,2.0,4.0
Oriente,Web,Billetera digital,141.69,5.0,5.0
Lima,Web,Tarjeta,83.65,2.0,5.0
Lima,Web,Billetera digital,304.43,2.0,5.0
Sur,App,Billetera digital,66.92,5.0,5.0
Lima,Web,Tarjeta,178.27,2.0,4.0
Norte,Web,Billetera digital,273.4,1.0,5.0
Lima,App,Tarjeta,203.78,2.0,3.0
Oriente,Web,Billetera digital,135.16,7.0,3.0
Sur,App,Billetera digital,92.67,4.0,3.0
Norte,Web,Contra entrega,55.35,4.0,4.0
Sur,Web,Tarjeta,83.61,4.0,4.0
Lima,Web,Billetera digital,111.6,1.0,4.0
Norte,App,Billetera digital,144.5,1.0,5.0
Sur,Web,Tarjeta,39.0,5.0,2.0
Norte,Web,Tarjeta,100.37,2.0,4.0
Lima,Web,Tarjeta,159.4,1.0,5.0
Lima,App,Tarjeta,587.63,1.0,3.0
Norte,App,Billetera digital,288.46,6.0,3.0
Sur,Web,Tarjeta,123.19,1.0,5.0
Sur,App,Tarjeta,73.25,5.0,4.0
Lima,App,Billetera digital,205.6,3.0,5.0
Lima,App,Tarjeta,260.68,1.0,3.0
Lima,Web,Tarjeta,135.94,1.0,4.0
Lima,App,Contra entrega,302.33,1.0,3.0
Oriente,App,Contra entrega,91.31,4.0,4.0
Sur,App,Billetera digital,37.93,5.0,5.0
Lima,Web,Tarjeta,172.52,2.0,3.0
Norte,Web,Tarjeta,71.33,3.0,4.0
Lima,Web,Billetera digital,340.33,4.0,4.0
Lima,App,Billetera digital,126.68,2.0,5.0
Norte,App,Contra entrega,125.53,3.0,5.0
Lima,App,Billetera digital,190.36,1.0,5.0
Norte,Web,Billetera digital,157.23,2.0,4.0
Norte,Web,Billetera digital,157.27,3.0,4.0
Lima,Web,Billetera digital,37.26,4.0,4.0
Lima,Web,Tarjeta,184.19,1.0,4.0
Norte,App,Billetera digital,185.83,2.0,4.0
Norte,Web,Tarjeta,99.67,2.0,4.0
Oriente,App,Contra entrega,106.2,3.0,4.0
Lima,App,Tarjeta,93.27,1.0,5.0
Centro,Web,Billetera digital,77.49,5.0,
Lima,Web,Tarjeta,103.02,1.0,4.0
Sur,Web,Contra entrega,84.49,4.0,4.0
Lima,Web,Contra entrega,94.23,1.0,4.0
Oriente,Web,Tarjeta,294.27,3.0,2.0
Lima,App,Billetera digital,232.56,3.0,4.0
Lima,Web,Tarjeta,164.62,1.0,4.0
Norte,Web,Billetera digital,101.6,2.0,4.0
Sur,Web,Tarjeta,136.9,6.0,
Centro,App,Contra entrega,135.16,5.0,5.0
Centro,Web,Contra entrega,311.49,2.0,4.0
Sur,App,Contra entrega,142.93,2.0,5.0
Oriente,App,Contra entrega,83.16,3.0,4.0
Lima,App,Tarjeta,164.06,3.0,5.0
Lima,Web,Tarjeta,218.96,4.0,3.0
Lima,Web,Tarjeta,105.94,3.0,5.0
Sur,App,Billetera digital,225.51,6.0,2.0
Norte,Web,Tarjeta,254.99,5.0,4.0
Norte,App,Contra entrega,73.54,6.0,4.0
Lima,Web,Contra entrega,106.27,1.0,5.0
Centro,Web,Billetera digital,118.5,3.0,3.0
Norte,Web,Contra entrega,68.72,2.0,5.0
Lima,Web,Billetera digital,132.84,1.0,4.0
Lima,Web,Billetera digital,74.28,1.0,4.0
Norte,Web,Tarjeta,107.21,5.0,4.0
Norte,App,Tarjeta,113.64,1.0,5.0
Sur,Web,Billetera digital,72.15,3.0,5.0
Lima,Web,Tarjeta,180.19,1.0,4.0
Lima,Web,Billetera digital,108.43,3.0,5.0
Lima,Web,Tarjeta,161.86,3.0,4.0
Lima,Web,Billetera digital,76.23,1.0,5.0
Norte,App,Contra entrega,55.21,4.0,3.0
Centro,App,Billetera digital,182.9,5.0,5.0
Lima,App,Billetera digital,202.3,1.0,5.0
Lima,Web,Tarjeta,85.71,2.0,4.0
Oriente,Web,Contra entrega,88.46,3.0,4.0
Oriente,Web,Tarjeta,114.15,3.0,3.0
Lima,Web,Tarjeta,206.86,1.0,5.0
Sur,Web,Contra entrega,388.28,6.0,2.0
Lima,App,Contra entrega,156.83,2.0,5.0
Sur,Web,Contra entrega,147.55,3.0,3.0
Lima,App,Billetera digital,172.78,2.0,4.0
Sur,Web,Contra entrega,113.42,2.0,5.0
Lima,Web,Billetera digital,166.02,2.0,5.0
Norte,Web,Tarjeta,31.12,4.0,5.0
Norte,Web,Contra entrega,63.33,4.0,3.0
Centro,Web,Billetera digital,50.01,3.0,3.0
Norte,Web,Contra entrega,344.39,1.0,5.0
Norte,Web,Contra entrega,110.12,3.0,4.0
Lima,Web,Billetera digital,264.24,2.0,4.0
Lima,App,Tarjeta,102.57,4.0,5.0
Norte,App,Tarjeta,60.05,6.0,3.0
Lima,App,Tarjeta,187.48,2.0,5.0
Norte,Web,Contra entrega,85.15,3.0,4.0
Oriente,Web,Tarjeta,118.74,5.0,4.0
Lima,Web,Billetera digital,80.68,2.0,4.0
Norte,App,Billetera digital,124.46,4.0,5.0
Lima,Web,Billetera digital,143.8,2.0,5.0
Lima,Web,Billetera digital,140.76,1.0,5.0
Lima,App,Billetera digital,117.92,1.0,4.0
Oriente,Web,Contra entrega,284.93,6.0,3.0
Centro,App,Contra entrega,99.07,2.0,4.0
Lima,Web,Tarjeta,155.61,1.0,4.0
Sur,Web,Tarjeta,75.28,2.0,4.0
Lima,Web,Tarjeta,166.83,2.0,5.0
Norte,App,Billetera digital,156.12,6.0,4.0
Lima,App,Tarjeta,174.68,2.0,3.0
Sur,App,Billetera digital,139.87,2.0,4.0
Norte,App,Billetera digital,250.1,2.0,4.0
Sur,Web,Billetera digital,200.26,2.0,5.0
Sur,Web,Billetera digital,617.62,3.0,5.0
Centro,App,Tarjeta,56.78,2.0,4.0
Sur,App,Tarjeta,174.47,1.0,5.0
Sur,App,Contra entrega,148.66,7.0,2.0
Lima,App,Contra entrega,85.28,1.0,
Norte,Web,Contra entrega,227.6,3.0,5.0
Lima,App,Tarjeta,103.2,1.0,5.0
Sur,Web,Tarjeta,201.47,4.0,4.0
Lima,Web,Billetera digital,114.05,1.0,5.0
Lima,Web,Tarjeta,94.16,1.0,3.0
Lima,Web,Billetera digital,166.75,2.0,4.0
Lima,App,Billetera digital,328.59,2.0,5.0
Oriente,Web,Contra entrega,43.72,9.0,3.0
Norte,App,Billetera digital,109.94,2.0,5.0
Lima,App,Tarjeta,274.2,1.0,5.0
Oriente,App,Billetera digital,76.5,4.0,5.0
Oriente,App,Contra entrega,199.14,6.0,3.0
Norte,Web,Contra entrega,64.47,2.0,5.0
Lima,Web,Billetera digital,32.49,1.0,5.0
Lima,Web,Billetera digital,89.28,2.0,4.0
Centro,App,Contra entrega,139.65,5.0,3.0
Sur,Web,Billetera digital,111.54,7.0,2.0
Lima,Web,Contra entrega,121.81,2.0,5.0
Norte,Web,Billetera digital,94.06,3.0,4.0
Sur,Web,Tarjeta,327.23,4.0,4.0
Lima,Web,Contra entrega,274.04,3.0,5.0
Norte,Web,Billetera digital,103.16,6.0,5.0
Oriente,Web,Tarjeta,159.09,3.0,5.0
Lima,Web,Billetera digital,150.54,2.0,4.0
Sur,App,Billetera digital,111.13,2.0,3.0
Centro,App,Billetera digital,69.52,4.0,5.0
Norte,Web,Billetera digital,77.85,4.0,3.0
Norte,Web,Contra entrega,83.99,2.0,4.0
Lima,App,Billetera digital,154.19,2.0,4.0
Norte,Web,Billetera digital,536.64,3.0,4.0
Sur,Web,Tarjeta,107.81,4.0,4.0
Sur,Web,Billetera digital,166.61,1.0,4.0
Norte,Web,Contra entrega,62.78,3.0,5.0
Norte,Web,Billetera digital,126.68,6.0,4.0
Sur,App,Billetera digital,105.18,3.0,4.0
Lima,Web,Tarjeta,147.52,1.0,4.0
Norte,App,Billetera digital,149.32,4.0,4.0
Oriente,App,Contra entrega,169.98,6.0,3.0
Lima,Web,Tarjeta,88.87,2.0,4.0
Sur,Web,Billetera digital,73.62,4.0,4.0
Lima,App,Billetera digital,274.05,1.0,4.0
Lima,App,Tarjeta,69.95,2.0,4.0
Lima,Web,Billetera digital,119.18,1.0,5.0
Sur,App,Billetera digital,30.85,4.0,4.0
Norte,App,Billetera digital,240.42,2.0,4.0
Sur,Web,Billetera digital,234.35,4.0,4.0
Lima,Web,Billetera digital,172.55,2.0,4.0
Lima,App,Tarjeta,97.01,2.0,4.0
Lima,App,Billetera digital,337.15,1.0,4.0
Oriente,App,Tarjeta,97.45,8.0,2.0
Lima,Web,Contra entrega,211.25,3.0,4.0
Sur,App,Billetera digital,228.66,3.0,5.0
Lima,Web,Tarjeta,126.78,2.0,4.0
Norte,App,Tarjeta,370.68,3.0,4.0
Centro,App,Billetera digital,104.33,6.0,5.0
Lima,Web,Tarjeta,220.09,1.0,5.0
Norte,App,Contra entrega,99.88,3.0,4.0
Lima,Web,Tarjeta,195.56,1.0,4.0
Oriente,Web,Billetera digital,69.59,9.0,3.0
Centro,App,Billetera digital,182.51,6.0,3.0
Norte,Web,Billetera digital,175.75,3.0,4.0
Lima,Web,Billetera digital,207.42,2.0,4.0
Norte,Web,Contra entrega,59.29,2.0,5.0
Centro,Web,Billetera digital,89.7,3.0,5.0
Norte,App,Billetera digital,277.37,2.0,4.0
Centro,App,Tarjeta,139.92,3.0,4.0
Centro,Web,Tarjeta,124.27,3.0,5.0
Lima,Web,Billetera digital,128.77,1.0,4.0
Norte,App,Billetera digital,259.68,7.0,4.0
Lima,Web,Billetera digital,96.18,4.0,4.0
Lima,Web,Billetera digital,90.78,2.0,4.0
Lima,App,Billetera digital,297.38,2.0,5.0
Oriente,Web,Billetera digital,151.81,2.0,5.0
Centro,App,Tarjeta,64.72,1.0,4.0
Centro,App,Contra entrega,75.13,4.0,3.0
Lima,Web,Billetera digital,140.95,2.0,4.0
Lima,Web,Tarjeta,79.19,1.0,5.0
Lima,Web,Billetera digital,85.61,1.0,3.0
Lima,App,Tarjeta,83.96,2.0,4.0
Centro,App,Contra entrega,35.37,3.0,5.0
Norte,App,Billetera digital,171.75,3.0,4.0
Norte,Web,Tarjeta,297.09,3.0,4.0
Centro,App,Tarjeta,112.58,2.0,3.0
Lima,Web,Tarjeta,490.22,4.0,4.0
Centro,App,Billetera digital,74.94,3.0,3.0
Oriente,App,Billetera digital,242.19,7.0,2.0
Norte,Web,Tarjeta,94.86,5.0,4.0
Sur,App,Tarjeta,72.5,6.0,4.0
Sur,Web,Billetera digital,124.76,3.0,4.0
Lima,Web,Billetera digital,356.75,2.0,5.0
Lima,Web,Billetera digital,100.99,2.0,5.0
Lima,Web,Tarjeta,69.19,2.0,5.0
Oriente,Web,Tarjeta,52.36,2.0,5.0
Norte,App,Contra entrega,507.46,5.0,4.0
Norte,App,Tarjeta,164.08,1.0,5.0
Lima,Web,Billetera digital,100.51,4.0,5.0
Centro,Web,Billetera digital,227.83,6.0,2.0
Lima,Web,Billetera digital,212.15,2.0,4.0
Lima,Web,Contra entrega,115.24,2.0,4.0
Lima,App,Contra entrega,66.15,3.0,4.0
